player,champion,mastery,total_games_played,win_rate,kda_ratio,average_gold_per_minute,average_cs_per_minute
"Player(name='ZzMushi', tag='wons')",ksante,81286,3,1.0,2.617,414.6,6.4
"Player(name='jObaticE', tag='EUNE')",viego,28156,6,1.0,3.0566,473.0,6.8
"Player(name='Runda%202%20udri', tag='EUNE')",akali,986,1,1.0,3.8333,552.7,6.5
"Player(name='PA%C5%A4O', tag='EUNE')",ezreal,90572,4,0.5,2.8868,468.9,7.3
"Player(name='teofanov03', tag='EUNE')",lux,378442,28,0.607,2.6923,344.8,1.5
"Player(name='God%20Scyzor', tag='COX')",malphite,66457,3,0.667,6.1481,424.5,6.6
"Player(name='BusznicaUwU', tag='ZeO03')",vi,58339,22,0.545,1.9773,443.7,6.0
"Player(name='Choojnia', tag='PDW')",fizz,107680,53,0.5660000000000001,2.8333,437.5,5.5
"Player(name='PoweredByJecna', tag='EUNE')",vayne,370525,6,0.5,1.8974,414.6,5.9
"Player(name='ShortCold', tag='EUNE')",milio,10746,3,0.33299999999999996,4.1509,279.7,0.7
"Player(name='Ne0n%20R9', tag='EUNE')",nasus,1167950,32,0.594,2.6596,412.7,6.2
"Player(name='Pan%C5%BByleta', tag='EUNE')",singed,51155,23,0.478,1.9231,405.9,6.9
"Player(name='Heinis', tag='EUNE')",graves,18189,7,0.28600000000000003,2.1625,433.8,6.5
"Player(name='PA%C5%A4O', tag='EUNE')",katarina,43480,1,0.0,0.625,320.5,5.0
"Player(name='balrog', tag='balro')",vayne,13937,16,0.563,2.2295,432.0,6.5
"Player(name='ARD%20ArieE', tag='EUNE')",nami,706340,41,0.585,4.0,293.9,0.8
"Player(name='%C3%9Flood%20Lord', tag='Blood')",vladimir,757176,28,0.643,3.0732,436.6,6.6
"Player(name='Sotwica', tag='2336')",diana,149068,9,0.556,2.1842,443.5,6.8
"Player(name='rainsouls', tag='EUNE')",zed,699239,23,0.652,3.1373,448.5,6.6
"Player(name='CptAnton', tag='CptA')",kaisa,93671,6,0.833,2.8462,503.8,7.0
"Player(name='NewbOrnn', tag='EUNEE')",thresh,26522,5,0.6,2.3793,311.3,1.3
"Player(name='tvuj%20ocic', tag='EUNE5')",drmundo,40615,6,0.667,3.5676,395.8,7.0
"Player(name='And%C5%BCol', tag='EUNE')",rengar,46922,6,0.5,2.7667,454.7,7.2
"Player(name='ReQ%203', tag='EUNE')",syndra,27211,5,0.4,3.2069,468.1,7.1
"Player(name='Pyk%20Pyk%20Cyk', tag='EUNE')",aphelios,14850,10,0.5,2.6154,390.9,7.0
"Player(name='Schwererr%20Gustav', tag='EUNE')",brand,272487,3,1.0,3.3962,351.3,1.6
"Player(name='Nuxia%20Orniou', tag='EUNE')",vladimir,5397,3,0.0,1.7875,390.6,6.7
"Player(name='PA%C5%A4O', tag='EUNE')",nocturne,618,1,0.0,1.0,349.4,5.9
"Player(name='Godlike%20Hwei', tag='7247')",hwei,7201,2,0.0,1.1579,353.8,5.0
"Player(name='bazbarezu', tag='EUNE')",vayne,142690,9,0.556,1.9242,436.8,7.1
"Player(name='VAG', tag='EUNE')",soraka,121847,2,0.0,1.1333,223.9,0.4
"Player(name='Chifor', tag='EUNE')",trundle,40497,25,0.6,1.8143,418.5,6.5
"Player(name='PA%C5%A4O', tag='EUNE')",elise,2108,2,0.5,2.3846,385.6,5.6
"Player(name='HaWuDePe', tag='EUNE')",syndra,27161,2,1.0,2.1,405.8,6.7
"Player(name='overther', tag='EUNE')",jinx,443012,32,0.625,2.4754,477.0,7.2
"Player(name='DwaBuchyiGluchy', tag='EUNE')",morgana,189752,4,0.5,2.6857,358.4,1.7
"Player(name='mostkiller123', tag='EUNE')",jax,31641,1,0.0,1.1667,453.4,7.3
"Player(name='THANKSRITOO', tag='EUNE')",rengar,211470,4,0.5,2.325,467.7,6.9
"Player(name='Dolhov', tag='EUNE')",vladimir,16985,5,0.6,2.1034,386.9,6.4
"Player(name='Toleklolek12', tag='EUNE')",samira,86653,1,0.0,1.4286,419.7,8.2
"Player(name='Wondr', tag='1589')",leona,26940,45,0.5329999999999999,2.5507,304.5,1.3
"Player(name='Sonny%20Wolf', tag='EUNE')",fiora,111774,12,0.5,1.8333,449.9,7.6
"Player(name='Hi%20Im%20Astan', tag='EUNE')",shaco,183938,44,0.614,2.6389,448.6,5.7
"Player(name='Dlaczego%20Ja%20Ehh', tag='SMYK')",ahri,125485,1,1.0,5.3333,420.9,6.2
"Player(name='Deff%20Not%20Gromp', tag='EUNE')",jinx,656380,17,0.47100000000000003,2.1486,441.9,7.2
"Player(name='Pix', tag='1569')",janna,203655,8,0.5,4.3878,303.8,1.2
"Player(name='Crxstx', tag='godz')",warwick,7136,1,0.0,1.8333,330.5,4.8
"Player(name='PA%C5%A4O', tag='EUNE')",elise,2108,2,0.5,2.3846,385.6,5.6
"Player(name='iabhor', tag='EUNE')",galio,30094,39,0.6920000000000001,3.4107,442.9,6.6
"Player(name='Du%C5%BCy%20Siur', tag='EUNE')",ashe,9567,1,0.0,2.1111,409.5,5.2
"Player(name='G2%20Cr4zydancer', tag='EUNE')",nautilus,14398,1,0.0,1.9,277.8,1.2
"Player(name='Tankarina', tag='420')",darius,5740,1,1.0,1.6,408.3,5.7
"Player(name='Ciep%C5%82y%20Adam', tag='tatic')",brand,72802,12,0.75,3.0536,430.6,6.4
"Player(name='Jas%CE%BFn%20B%CE%BFurne%20', tag='EUNE')",corki,31147,3,0.667,1.9125,482.3,6.9
"Player(name='T1%20ZEU%CE%A3', tag='1312')",missfortune,17388,7,0.857,2.3478,466.4,6.4
"Player(name='TopG%20G%C5%9A', tag='EUNE')",blitzcrank,18592,1,1.0,2.5,287.8,0.6
"Player(name='SkillWill', tag='Will')",drmundo,46382,5,0.6,3.75,472.2,7.4
"Player(name='GreatWhitePole', tag='EUNE')",poppy,10288,11,0.636,1.9747,332.6,4.2
"Player(name='AQFNGVKQ', tag='EUNE')",chogath,279747,16,0.5,2.431,407.6,6.5
"Player(name='Shangluiv2', tag='EUNE')",draven,35125,17,0.588,2.3516,531.2,5.8
"Player(name='krsn', tag='1244')",ashe,205378,3,0.33299999999999996,1.7586,386.5,5.5
"Player(name='99hqu', tag='Rank1')",akali,145033,5,0.4,1.4314,402.5,5.8
"Player(name='UnluckiestManKEK', tag='ALIVE')",kindred,5726,9,0.444,1.08,354.2,4.9
"Player(name='BoskiKamilo', tag='EUNE')",vex,376723,24,0.542,2.1389,400.5,5.8
